CustomerID,Age,Tenure_Months,MonthlyCharges,Contract,InternetService,TechSupport,PaymentMethod,Churn
C10001,22,72,59.25,One year,Fiber optic,No,Electronic check,Yes
C10002,59,56,139.4,Month-to-month,Fiber optic,Yes,Credit card,No
C10003,52,24,121.57,Two year,No,No,Electronic check,No
C10004,41,70,34.38,One year,Fiber optic,No,Bank transfer,Yes
C10005,40,36,149.61,Month-to-month,DSL,Yes,Credit card,Yes
C10006,63,37,134.3,Month-to-month,DSL,Yes,Credit card,Yes
C10007,22,32,56.91,One year,Fiber optic,No,Electronic check,Yes
C10008,54,11,128.8,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10009,28,68,33.83,Month-to-month,DSL,Yes,Electronic check,Yes
C10010,22,2,149.88,Two year,Fiber optic,Yes,Electronic check,Yes
C10011,45,13,106.54,Month-to-month,Fiber optic,Yes,Bank transfer,No
C10012,69,17,104.52,Month-to-month,No,No,Credit card,Yes
C10013,56,21,31.76,Two year,Fiber optic,No,Credit card,No
C10014,58,10,136.61,One year,Fiber optic,Yes,Bank transfer,Yes
C10015,56,2,23.77,Month-to-month,DSL,No,Electronic check,No
C10016,59,49,51.31,Two year,Fiber optic,Yes,Electronic check,Yes
C10017,45,70,38.59,Two year,DSL,Yes,Electronic check,Yes
C10018,24,9,120.98,Month-to-month,Fiber optic,No,Electronic check,Yes
C10019,62,22,45.77,One year,Fiber optic,No,Electronic check,No
C10020,41,37,138.38,Month-to-month,DSL,Yes,Credit card,Yes
C10021,44,67,105.31,Month-to-month,DSL,Yes,Electronic check,Yes
C10022,37,50,24.7,One year,DSL,No,Electronic check,Yes
C10023,27,56,20.71,Month-to-month,No,No,Bank transfer,Yes
C10024,67,42,26.72,One year,Fiber optic,Yes,Electronic check,Yes
C10025,59,31,98.77,Two year,DSL,Yes,Bank transfer,No
C10026,52,15,124.19,Month-to-month,No,No,Electronic check,Yes
C10027,39,63,51.01,One year,Fiber optic,Yes,Electronic check,No
C10028,61,58,130.42,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10029,46,2,27.44,Two year,No,Yes,Credit card,Yes
C10030,41,52,124.13,Month-to-month,DSL,Yes,Bank transfer,Yes
C10031,41,7,140.61,One year,DSL,No,Bank transfer,Yes
C10032,30,54,120.37,One year,Fiber optic,No,Bank transfer,Yes
C10033,22,60,110.76,Month-to-month,DSL,No,Electronic check,Yes
C10034,47,10,128.94,One year,Fiber optic,No,Electronic check,No
C10035,65,32,25.22,One year,DSL,No,Bank transfer,No
C10036,21,9,46.23,One year,DSL,Yes,Electronic check,No
C10037,63,41,36.24,One year,DSL,Yes,Credit card,Yes
C10038,61,67,85.59,Two year,Fiber optic,No,Bank transfer,No
C10039,32,6,116.87,Month-to-month,DSL,Yes,Electronic check,Yes
C10040,51,29,101.9,Month-to-month,DSL,No,Bank transfer,Yes
C10041,26,71,130.65,Month-to-month,No,No,Electronic check,Yes
C10042,58,22,40.18,One year,DSL,Yes,Bank transfer,Yes
C10043,55,10,115.5,Month-to-month,Fiber optic,No,Credit card,Yes
C10044,36,36,45.1,Month-to-month,DSL,Yes,Electronic check,Yes
C10045,21,37,55.2,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10046,69,48,112.29,Two year,DSL,No,Electronic check,Yes
